Codi,Literal,Homes,Dones,Total
171241,Pals,1305,1211,2516,
081580,"Papiol, el",2102,2130,4232,
171254,Pardines,90,76,166,
081593,Parets del Vallès,9416,9491,18907,
171267,Parlavà,206,207,413,
431016,Passanant i Belltall,98,69,167,
171289,Pau,294,294,588,
431021,Paüls,287,276,563,
171292,Pedret i Marzà,93,94,187,
251641,Penelles,254,189,443,
171306,"Pera, la",224,224,448,
081607,Perafita,211,201,412,
431037,Perafort,662,613,1275,
171328,Peralada,964,981,1945,
251654,Peramola,174,174,348,
431042,"Perelló, el",1453,1393,2846,
081614,Piera,8386,8025,16411,
431055,"Piles, les",117,101,218,
081635,Pineda de Mar,13933,14041,27974,
431068,"Pinell de Brai, el",503,495,998,
251667,Pinell de Solsonès,109,79,188,
251673,Pinós,155,135,290,
431074,Pira,267,231,498,
431080,"Pla de Santa Maria, el",1222,1118,2340,
081640,"Pla del Penedès, el",656,650,1306,
171334,"Planes d'Hostoles, les",867,844,1711,
171349,Planoles,167,144,311,
259118,"Plans de Sió, els",277,226,503,
251689,"Poal, el",345,322,667,
251692,"Pobla de Cérvoles, la",104,94,198,
081653,"Pobla de Claramunt, la",1124,1083,2207,
081666,"Pobla de Lillet, la",513,550,1063,
431093,"Pobla de Mafumet, la",2036,1989,4025,
431107,"Pobla de Massaluca, la",192,149,341,
431114,"Pobla de Montornès, la",1543,1456,2999,
251713,"Pobla de Segur, la",1522,1528,3050,
431129,Poboleda,165,163,328,
081672,Polinyà,4309,4185,8494,
431135,"Pont d'Armentera, el",245,248,493,
250306,"Pont de Bar, el",105,69,174,
171352,Pont de Molins,261,257,518,
251734,"Pont de Suert, el",1169,1162,2331,
081825,"Pont de Vilomara i Rocafort, el",2072,1944,4016,
431418,Pontils,74,64,138,
081688,Pontons,286,237,523,
171365,Pontós,145,119,264,
251728,Ponts,1338,1291,2629,
171371,Porqueres,2317,2384,4701,
431140,Porrera,224,204,428,
171404,"Port de la Selva, el",524,486,1010,
171387,Portbou,547,548,1095,
251749,"Portella, la",409,318,727,
431153,Pradell de la Teixeta,78,86,164,
431166,Prades,322,280,602,
431172,Prat de Comte,98,88,186,
081691,"Prat de Llobregat, el",32073,33459,65532,
431188,Pratdip,353,327,680,
081712,Prats de Lluçanès,1320,1314,2634,
081705,"Prats de Rei, els",296,255,551,
251752,Prats i Sansor,132,119,251,
251765,Preixana,207,184,391,
251771,Preixens,211,210,421,
082303,Premià de Dalt,5203,5216,10419,
081727,Premià de Mar,13902,14621,28523,
171390,"Preses, les",929,946,1875,
251790,Prullans,115,131,246,
171411,Puigcerdà,4733,4785,9518,
081748,Puigdàlber,265,286,551,
251804,Puiggròs,134,131,265,
431191,Puigpelat,629,567,1196,
081751,Puig-reig,2120,2169,4289,
251811,Puigverd d'Agramunt,131,99,230,
251826,Puigverd de Lleida,711,673,1384,
081764,Pujalt,114,92,206,
081770,"Quar, la",28,23,51,
171426,Quart,1951,1905,3856,
170433,Queralbs,99,92,191,
431205,Querol,305,239,544,
171432,Rabós,99,107,206,
081786,Rajadell,278,271,549,
431362,"Ràpita, la",7312,7619,14931,
431212,Rasquera,420,426,846,
171447,Regencós,151,131,282,
081799,Rellinars,448,420,868,
431227,Renau,83,72,155,
431233,Reus,51298,54786,106084,
251832,Rialp,327,331,658,
431248,"Riba, la",310,265,575,
431251,Riba-roja d'Ebre,595,522,1117,
259059,Ribera d'Ondara,219,212,431,
251850,Ribera d'Urgellet,489,458,947,
171450,Ribes de Freser,894,893,1787,
171463,Riells i Viabrea,2151,2117,4268,
431264,"Riera de Gaià, la",864,873,1737,
251863,Riner,139,142,281,
171479,Ripoll,5329,5392,10721,
081803,Ripollet,19350,19789,39139,
259139,Riu de Cerdanya,56,37,93,
171485,Riudarenes,1187,1096,2283,
171498,Riudaura,253,258,511,
431270,Riudecanyes,635,559,1194,
431286,Riudecols,631,594,1225,
171501,Riudellots de la Selva,1049,1027,2076,
431299,Riudoms,3364,3253,6617,
171518,Riumors,127,117,244,
081810,"Roca del Vallès, la",5334,5342,10676,
431303,Rocafort de Queralt,123,107,230,
431310,Roda de Berà,3653,3474,7127,
081831,Roda de Ter,3217,3232,6449,
431325,Rodonyà,273,234,507,
431331,Roquetes,4207,3952,8159,
171523,Roses,10106,9815,19921,
251898,Rosselló,1627,1559,3186,
431346,"Rourell, el",205,197,402,
081846,Rubí,38782,39767,78549,
081859,Rubió,140,96,236,
171539,Rupià,148,148,296,
089019,Rupit i Pruit,149,147,296,
081878,Sabadell,105076,111128,216204,
081884,Sagàs,79,72,151,
251902,Salàs de Pallars,187,156,343,
081901,Saldes,163,120,283,
171544,Sales de Llierca,79,85,164,
081918,Sallent,3249,3468,6717,
431359,Salomó,280,264,544,
439057,Salou,14673,13839,28512,
171557,Salt,16926,15304,32230,
251919,Sanaüja,207,189,396,
081944,Sant Adrià de Besòs,18357,18926,37283,
081957,Sant Agustí de Lluçanès,47,45,92,
081960,Sant Andreu de la Barca,13417,13758,27175,
081976,Sant Andreu de Llavaneres,5518,5632,11150,
171576,Sant Andreu Salou,76,80,156,
171833,Sant Aniol de Finestres,179,174,353,
081982,Sant Antoni de Vilamajor,3173,3210,6383,
081995,Sant Bartomeu del Grau,485,428,913,
082009,Sant Boi de Llobregat,40823,42932,83755,
082016,Sant Boi de Lluçanès,293,280,573,
082037,Sant Cebrià de Vallalta,1858,1712,3570,
082021,Sant Celoni,9063,9113,18176,
082042,Sant Climent de Llobregat,2099,2094,4193,
171582,Sant Climent Sescebes,432,280,712,
082055,Sant Cugat del Vallès,45711,48301,94012,
082068,Sant Cugat Sesgarrigues,494,510,1004,
251961,Sant Esteve de la Sarga,74,48,122,
082074,Sant Esteve de Palautordera,1478,1519,2997,
082080,Sant Esteve Sesrovires,3910,3861,7771,
171595,Sant Feliu de Buixalleu,415,393,808,
082107,Sant Feliu de Codines,3234,3172,6406,
171609,Sant Feliu de Guíxols,10908,11302,22210,
082114,Sant Feliu de Llobregat,22089,23374,45463,
171616,Sant Feliu de Pallerols,736,720,1456,
082129,Sant Feliu Sasserra,329,288,617,
171621,Sant Ferriol,131,116,247,
082093,Sant Fost de Campsentelles,4478,4519,8997,
082135,Sant Fruitós de Bages,4401,4535,8936,
171637,Sant Gregori,2066,1946,4012,
251924,Sant Guim de Freixenet,551,508,1059,
251977,Sant Guim de la Plana,101,83,184,
171642,Sant Hilari Sacalm,2903,2855,5758,
082153,Sant Hipòlit de Voltregà,1788,1759,3547,
081939,Sant Iscle de Vallalta,773,665,1438,
