"","municipi","hab"
"846","Torroja del Priorat",141
"847","Tortellà",816
"848","Tortosa",33572
"849","Toses",178
"850","Tossa de Mar",5930
"851","Tremp",5893
"852","Ullà",1167
"853","Ullastrell",2096
"854","Ullastret",258
"855","Ulldecona",6317
"856","Ulldemolins",400
"857","Ultramort",226
"858","Urús",210
"859","Vacarisses",7082
"860","Vajol",88
"861","Vall d'en Bas",3115
"862","Vall de Bianya",1315
"863","Vall de Boí",1060
"864","Vall de Cardós",382
"865","Vallbona d'Anoia",1375
"866","Vallbona de les Monges",236
"867","Vallcebre",258
"868","Vallclara",91
"869","Vallfogona de Balaguer",1912
"870","Vallfogona de Ripollès",213
"871","Vallfogona de Riucorb",77
"872","Vallgorguina",3052
"873","Vallirana",15438
"874","Vall-llobrega",918
"875","Vallmoll",1793
"876","Vallromanes",2594
"877","Valls",24553
"878","Valls d'Aguilar",264
"879","Valls de Valira",800
"880","Vandellòs i l'Hospitalet de l'Infant",6645
"881","Vansa i Fórnols",156
"882","Veciana",179
"883","Vendrell",38891
"884","Ventalló",914
"885","Verdú",880
"886","Verges",1183
"887","Vespella de Gaià",458
"888","Vic",47319
"889","Vidrà",186
"890","Vidreres",8073
"891","Vielha e Mijaran",5674
"892","Vilabella",705
"893","Vilabertran",969
"894","Vilablareix",3225
"895","Vilada",424
"896","Viladamat",471
"897","Viladasens",214
"898","Viladecans",66707
"899","Viladecavalls",7621
"900","Vilademuls",835
"901","Viladrau",1102
"902","Vilafant",5480
"903","Vilafranca del Penedès",39969
"904","Vilagrassa",587
"905","Vilajuïga",1124
"906","Vilalba dels Arcs",630
"907","Vilalba Sasserra",758
"908","Vilaller",554
"909","Vilallonga de Ter",386
"910","Vilallonga del Camp",2385
"911","Vilamacolum",371
"912","Vilamalla",1154
"913","Vilamaniscle",205
"914","Vilamòs",164
"915","Vilanant",399
"916","Vilanova d'Escornalbou",582
"917","Vilanova de Bellpuig",1178
"918","Vilanova de l'Aguda",194
"919","Vilanova de la Barca",1127
"920","Vilanova de Meià",427
"921","Vilanova de Prades",108
"922","Vilanova de Sau",314
"923","Vilanova de Segrià",1000
"924","Vilanova del Camí",12736
"925","Vilanova del Vallès",5535
"926","Vilanova i la Geltrú",67458
"927","Vilaplana",536
"928","Vila-rodona",1299
"929","Vila-sacra",761
"930","Vila-sana",761
"931","Vila-seca",22522
"932","Vilassar de Dalt",9074
"933","Vilassar de Mar",20936
"934","Vilaür",162
"935","Vilaverd",445
"936","Vilella Alta",131
"937","Vilella Baixa",208
"938","Vilobí d'Onyar",3310
"939","Vilobí del Penedès",1128
"940","Vilopriu",230
"941","Vilosell",192
"942","Vimbodí i Poblet",880
"943","Vinaixa",464
"944","Vinebre",427
"945","Vinyols i els Arcs",2193
"946","Viver i Serrateix",175
"947","Xerta",1159
